Province,City,Area,Company,Status,Delivery Time,Delivery Charges,
Sindh,Hyderababd,Main,BLUEX,Delivered,13 Days,150,
Punjab,Jampur,Main,BLUEX,Delivered,10 Days,150,
Sindh,KARACHI,Main,BLUEX,Delivered,6 Days,150,
Punjab,Wah Cantt,Tehsil,BLUEX,Delivered,9 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,6 Days,150,
Punjab,Hasilpur,Main,BLUEX,Delivered,6 Days,150,
Punjab,Multan,Main,BLUEX,Delivered,7 Days,150,
Punjab,Gujranwala,Main,BLUEX,Delivered,5 Days,150,
Punjab,Rawalpindi,Main,BLUEX,Delivered,6 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,6 Days,150,
Punjab,Sahiwal,Main,BLUEX,Delivered,7 Days,150,
Sindh,Larkana,Main,BLUEX,Delivered,10 Days,150,
Balochistan,Quetta,Main,BLUEX,Delivered,9 Days,150,
Punjab,Lahore,Main,BLUEX,Delivered,6 Days,150,
Punjab,VEHARI,Main,BLUEX,Delivered,9 Days,150,
AJK,Muzafar Garh,Main,BLUEX,Delivered,12 Days,150,
Sindh,Hyderabbad,Main,BLUEX,Delivered,5 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,5 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,5 Days,150,
Sindh,karachi,Main,BLUEX,Delivered,6 Days,150,
Sindh,karachi,Main,BLUEX,Delivered,5 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,8 Days,150,
Punjab,Faisalabad,Main,BLUEX,Delivered,10 Days,150,
Sindh,Hyderabad,Main,BLUEX,Delivered,4 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,4 Days,150,
Sindh,Hyderabad,Main,BLUEX,Delivered,8 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,9 Days,150,
Sindh,karachi,Main,BLUEX,Delivered,3 Days,150,
,Dinga,Main,BLUEX,Delivered,7 Days,150,
Punjab,Mandi Bahudin,Village,BLUEX,Delivered,3 Days,150,
Sindh,Hyderabad,Main,BLUEX,Delivered,10 Days,150,
KPK,Peshawar,Main,BLUEX,Delivered,3 Days,150,
Punjab,Faisalabad,Main,BLUEX,Delivered,1 Days,150,
Punjab,Khanpur,Tehsil,BLUEX,Delivered,6 Days,150,
Sindh,Karachi,Main,BLUEX,Delivered,3 Days,150,
Punjab,Sialkot,Main,BLUEX,Delivered,1 Days,150,
Punjab,Taxila,Main,BLUEX,Delivered,2 Days,150,
Punjab,Kamalia,Main,BLUEX,Delivered,6 Days,150,
,Shakargarr,Main,BLUEX,Delivered,5 Days,150,
KPK,Buner,Village,BLUEX,Delivered,14 Days,150,
Punjab,Gujranwala,Main,BLUEX,Delivered,4 Days,150,
KPK,D .i.khan,Village,BLUEX,Delivered,9 Days,150,
Punjab,Mamukanjan,Village,BLUEX,Delivered,14 Days,150,
,Hub Chowki,Main,BLUEX,Delivered,7 Days,150,
Punjab,Lahore,Main,BLUEX,Delivered,4 Days,150,
Sindh,Hydrabad,Main,BLUEX,Delivered,5 Days,150,
